name,playcount,listeners,mbid,url,streamable,tags
Snow Patrol,93038154,3136702,a66999a7-ae5c-460e-ba94-1a01143ae847,https://www.last.fm/music/Snow+Patrol,0,"indie, alternative, rock"
Nickelback,89010897,2985273,bc710bcf-8815-42cf-bad2-3f1d12246aeb,https://www.last.fm/music/Nickelback,0,"rock, alternative rock, hard rock"
Moby,100294279,2785963,8970d868-0723-483b-a75b-51088913d3d4,https://www.last.fm/music/Moby,0,"electronic, ambient, chillout"
Placebo,197350041,2746826,979a39b4-2df9-4767-a3ca-7940e8aff05a,https://www.last.fm/music/Placebo,0,"alternative rock, alternative, rock"
Incubus,116062585,2702663,e3e0abcd-7671-4482-a9d8-462f5acc9be5,https://www.last.fm/music/Incubus,0,"alternative rock, rock, alternative"
Jack Johnson,120990759,2691301,ff6e677f-91dd-4986-a174-8db0474b1799,https://www.last.fm/music/Jack+Johnson,0,"acoustic, singer-songwriter, chill"
Yeah Yeah Yeahs,91466914,2654908,584c04d2-4acc-491b-8a0a-e63133f4bfc4,https://www.last.fm/music/Yeah+Yeah+Yeahs,0,"indie, indie rock, female vocalists"
3 Doors Down,61857073,2645012,2386cd66-e923-4e8e-bf14-2eebe2e9b973,https://www.last.fm/music/3+Doors+Down,0,"rock, alternative rock, alternative"
Bloc Party,111046911,2619530,8c538f11-c141-4588-8ecb-931083524186,https://www.last.fm/music/Bloc+Party,0,"indie, indie rock, seen live"
Eric Clapton,55863379,2576857,618b6900-0618-4f1e-b835-bccb17f84294,https://www.last.fm/music/Eric+Clapton,0,"classic rock, blues, rock"
T.I.,34708581,2572533,f7ba7fbe-c6bd-4ac0-bee9-c25c558d7d62,https://www.last.fm/music/T.I.,0,"Hip-Hop, rap, Dirty South"
Keane,71798514,2560128,c7020c6d-cae9-4db3-92a7-e5c561cbad50,https://www.last.fm/music/Keane,0,"britpop, indie, alternative"
Kasabian,87810714,2533229,69b39eab-6577-46a4-a9f5-817839092033,https://www.last.fm/music/Kasabian,0,"indie, indie rock, british"
Modest Mouse,132358220,2527236,a96ac800-bfcb-412a-8a63-0a98df600700,https://www.last.fm/music/Modest+Mouse,0,"indie, indie rock, alternative"
Disturbed,115129469,2515633,dc75517c-d268-486d-bd5b-0eaff34eeef9,https://www.last.fm/music/Disturbed,0,"metal, Nu Metal, hard rock"
The Shins,92325635,2474556,6c8b9855-ba8b-48f9-ac1d-42167f7f7b18,https://www.last.fm/music/The+Shins,0,"indie, indie rock, indie pop"
Jason Mraz,65617350,2451246,82eb8936-7bf6-4577-8320-a2639465206d,https://www.last.fm/music/Jason+Mraz,0,"singer-songwriter, acoustic, pop"
Limp Bizkit,79287779,2441252,8f9d6bb2-dba4-4cca-9967-cc02b9f4820c,https://www.last.fm/music/Limp+Bizkit,0,"Nu Metal, rapcore, rock"
Three Days Grace,90753616,2400090,fabb37f8-eb2a-4cc1-a72a-b56935bbb72d,https://www.last.fm/music/Three+Days+Grace,0,"alternative rock, rock, alternative"
Marilyn Manson,132530679,2379351,80cadd99-f560-41e3-babd-16292bbd248a,https://www.last.fm/music/Marilyn+Manson,0,"industrial, industrial metal, metal"
The Fray,56742175,2378485,2ddd167f-5b8a-4372-b350-6ad50493bac0,https://www.last.fm/music/The+Fray,0,"alternative, rock, piano rock"
The Chemical Brothers,64926591,2363140,1946a82a-f927-40c2-8235-38d64f50d043,https://www.last.fm/music/The+Chemical+Brothers,0,"electronic, dance, big beat"
Kaiser Chiefs,52318820,2362912,90218af4-4d58-4821-8d41-2ee295ebbe21,https://www.last.fm/music/Kaiser+Chiefs,0,"indie, indie rock, seen live"
Lily Allen,74381162,2349083,6e0c7c0e-cba5-4c2c-a652-38f71ef5785d,https://www.last.fm/music/Lily+Allen,0,"pop, female vocalists, british"
The Prodigy,105651969,2336787,4a4ee089-93b1-4470-af9a-6ff575d32704,https://www.last.fm/music/The+Prodigy,0,"electronic, techno, industrial"
Audioslave,58913504,2332661,020bfbb4-05c3-4c86-b372-17825c262094,https://www.last.fm/music/Audioslave,0,"rock, alternative rock, hard rock"
Deep Purple,57653517,2266843,79491354-3d83-40e3-9d8e-7592d58d790a,https://www.last.fm/music/Deep+Purple,0,"hard rock, classic rock, rock"
Air,93070263,2257326,ef3f5cea-b32e-4325-b8d4-96ae70a9fc2e,https://www.last.fm/music/Air,0,"electronic, chillout, ambient"
Jimmy Eat World,74863497,2246340,bbc5b66b-d037-4f26-aecf-0b129e7f876a,https://www.last.fm/music/Jimmy+Eat+World,0,"rock, alternative, emo"
The Pussycat Dolls,32689836,2235478,1fda852b-92e9-4562-82fa-c52820a77b23,https://www.last.fm/music/The+Pussycat+Dolls,0,"pop, rnb, dance"
Portishead,89869603,2214230,8f6bd1e4-fbe1-4f50-aa9b-94c450ec0f11,https://www.last.fm/music/Portishead,0,"trip-hop, electronic, female vocalists"
The Verve,37178772,2200108,d4d17620-fd97-4574-92a8-a2cb7e72ce42,https://www.last.fm/music/The+Verve,0,"britpop, rock, alternative"
Iron & Wine,75903129,2184327,c3f28da8-662d-4f09-bdc7-3084bf685930,https://www.last.fm/music/Iron+&+Wine,0,"folk, indie, singer-songwriter"
Norah Jones,71199336,2182603,985c709c-7771-4de3-9024-7bda29ebe3f9,https://www.last.fm/music/Norah+Jones,0,"jazz, female vocalists, blues"
Akon,27138992,2178300,1138a764-2212-4d0a-b02d-0dc14df91e08,https://www.last.fm/music/Akon,0,"Hip-Hop, rnb, rap"
No Doubt,44694847,2173814,fbd2a255-1d57-4d31-ac11-65b671c19958,https://www.last.fm/music/No+Doubt,0,"rock, pop, ska"
The Game,32113896,2164156,baec7ed1-32d7-482d-9455-33c403e61952,https://www.last.fm/music/The+Game,0,"rap, Hip-Hop, Gangsta Rap"
The All-American Rejects,50422682,2154645,09885b8e-f235-4b80-a02a-055539493173,https://www.last.fm/music/The+All-American+Rejects,0,"rock, alternative, pop punk"
Rise Against,150393890,2152614,606bf117-494f-4864-891f-09d63ff6aa4b,https://www.last.fm/music/Rise+Against,0,"punk rock, punk, melodic hardcore"
James Blunt,45071625,2151860,ebee61b4-bbdd-4087-9bcb-d5aa099088ec,https://www.last.fm/music/James+Blunt,0,"pop, singer-songwriter, acoustic"
Lupe Fiasco,43845177,2139744,cf15719f-51f9-4db8-a15d-5eed9664ce69,https://www.last.fm/music/Lupe+Fiasco,0,"Hip-Hop, rap, hip hop"
Sigur Rós,134208801,2136828,f6f2326f-6b25-4170-b89d-e235b25508e8,https://www.last.fm/music/Sigur+R%C3%B3s,0,"post-rock, ambient, icelandic"
Lynyrd Skynyrd,34987184,2097787,c544ed4d-2390-4442-a83e-1ea2883b09c8,https://www.last.fm/music/Lynyrd+Skynyrd,0,"classic rock, Southern Rock, rock"
Breaking Benjamin,81461083,2094194,854a1807-025b-42a8-ba8c-2a39717f1d25,https://www.last.fm/music/Breaking+Benjamin,0,"alternative rock, rock, hard rock"
